year,country,gini_net,gini_net_se,gini_market,gini_market_se,rel_red,rel_red_se,abs_red,abs_red_se
1996,"Albania",27.3084,1.158342,29.78241,2.216183,,,,
1997,"Albania",27.17991,1.04959,29.47652,2.038265,,,,
1998,"Albania",27.64556,1.057778,30.05447,2.013097,,,,
1999,"Albania",28.11121,1.111075,30.63243,2.073504,,,,
2000,"Albania",28.57686,1.203502,31.21037,2.212491,,,,
2001,"Albania",29.04251,1.326908,31.78832,2.416534,,,,
2002,"Albania",29.50816,1.473531,32.36628,2.670766,,,,
2003,"Albania",29.75969,1.411638,32.65889,2.529867,,,,
2004,"Albania",30.01122,1.413824,32.9515,2.504041,,,,
2005,"Albania",30.51353,1.582207,33.48592,2.769301,,,,
2006,"Albania",31.47114,1.559085,34.48526,2.728862,,,,
2007,"Albania",32.42875,1.782043,35.4846,3.087752,,,,
2008,"Albania",33.38636,2.176735,36.48394,3.732507,,,,
1988,"Algeria",35.25286,1.430429,37.95876,2.340779,,,,
1989,"Algeria",34.69741,1.330736,37.37143,2.188911,,,,
1990,"Algeria",34.14195,1.252273,36.7841,2.080689,,,,
1991,"Algeria",33.58649,1.199213,36.19677,2.023129,,,,
1992,"Algeria",33.03104,1.175004,35.60944,2.020567,,,,
1993,"Algeria",32.47558,1.18142,35.02211,2.073205,,,,
1994,"Algeria",31.92012,1.217978,34.43478,2.177043,,,,
1995,"Algeria",31.36466,1.282101,33.84744,2.325233,,,,
1996,"Algeria",32.23095,1.285332,35.28666,2.503721,,,,
1997,"Algeria",33.09723,1.391164,36.72588,2.947487,,,,
1998,"Algeria",33.96352,1.579099,38.1651,3.558636,,,,
1999,"Algeria",34.8298,1.823932,39.60432,4.265823,,,,
2000,"Algeria",35.69608,2.105911,41.04354,5.028694,,,,
2001,"Algeria",35.53446,1.932892,40.88385,4.599153,,,,
2002,"Algeria",35.37284,1.84655,40.72417,4.360189,,,,
2003,"Algeria",35.21122,1.859002,40.56448,4.343373,,,,
2004,"Algeria",35.04959,1.968375,40.40479,4.551168,,,,
2005,"Algeria",34.88797,2.159995,40.2451,4.955398,,,,
2001,"Andorra",28.47906,1.448142,45.49545,3.468317,,,,
2002,"Andorra",28.47603,1.422809,45.47688,3.483,,,,
2003,"Andorra",28.4646,1.432098,45.51742,3.46416,,,,
1995,"Angola",39.9138,2.278944,46.06319,5.683761,,,,
1996,"Angola",43.6494,2.424777,50.29861,5.570042,,,,
1997,"Angola",47.385,2.828631,54.53403,5.834284,,,,
1998,"Angola",51.1206,3.399768,58.76945,6.430059,,,,
1999,"Angola",54.8562,4.068335,63.00487,7.276381,,,,
2000,"Angola",58.5918,4.793738,67.2403,8.296931,,,,
2001,"Angola",58.43129,4.420251,67.05615,7.571568,,,,
2002,"Angola",58.27079,4.21284,66.87202,7.172048,,,,
2003,"Angola",58.11028,4.196204,66.68787,7.153179,,,,
2004,"Angola",57.94978,4.372522,66.50374,7.517827,,,,
2005,"Angola",57.78927,4.720221,66.3196,8.215079,,,,
2006,"Angola",53.84623,3.585633,61.51979,6.212647,,,,
2007,"Angola",49.90319,2.639028,56.71998,4.586605,,,,
2008,"Angola",45.96016,2.145602,51.92017,3.848037,,,,
2009,"Angola",46.8778,1.896195,52.58859,3.564069,,,,
2002,"Anguilla",28.37374,.3581975,32.86203,.7635158,,,,
2003,"Anguilla",30.04196,.476697,33.78061,1.558002,,,,
2004,"Anguilla",31.71019,.656335,34.6992,2.602182,,,,
2005,"Anguilla",33.37842,.8596001,35.61779,3.689838,,,,
2006,"Anguilla",35.04665,1.07315,36.53638,4.791454,,,,
2007,"Anguilla",36.71488,1.291893,37.45497,5.899214,,,,
2008,"Anguilla",38.38311,1.513582,38.37356,7.010206,,,,
1961,"Argentina",37.18134,.3676367,42.59918,.6179467,,,,
1963,"Argentina",35.99252,.3854046,41.10276,.6069276,,,,
1965,"Argentina",34.8943,.4831407,39.69995,.7018663,,,,
1969,"Argentina",36.4964,3.913613,38.77673,1.706209,,,,
1970,"Argentina",35.20825,2.628703,38.50177,1.554362,,,,
1971,"Argentina",34.60995,3.239823,38.15283,2.200364,,,,
1972,"Argentina",33.67262,1.675532,38.17989,1.628536,,,,
1974,"Argentina",33.69609,.6659936,38.99229,1.469019,,,,
1975,"Argentina",34.2434,.7571391,39.86601,1.774304,,,,
1976,"Argentina",34.66171,.8019984,40.53602,1.947306,,,,
1977,"Argentina",35.58432,.8663206,41.7637,2.146518,,,,
1978,"Argentina",36.41936,.8731214,42.8478,2.247157,,,,
1979,"Argentina",37.30973,.8299744,43.74674,2.148608,,,,
1980,"Argentina",37.84216,.7375988,44.08135,2.081929,,,,
1981,"Argentina",38.23059,.6580147,44.06738,2.022996,,,,
1982,"Argentina",38.31211,.6079136,43.85137,2.140892,,,,
1983,"Argentina",38.49446,.5720361,43.69311,2.21303,,,,
1985,"Argentina",39.30351,.5166959,44.66862,1.949003,11.8825,3.044515,5.365112,1.585566
1986,"Argentina",39.9973,.4856082,45.64668,1.601396,12.29713,2.364914,5.649379,1.268388
1987,"Argentina",40.45727,.493517,45.86834,1.507757,11.73012,2.138987,5.411074,1.151478
1988,"Argentina",40.93254,.4863788,46.20949,1.367385,11.36727,1.880396,5.276953,1.017211
1989,"Argentina",41.34905,.4861449,46.40516,1.350312,10.84466,1.863231,5.056109,1.004098
1990,"Argentina",41.2767,.4569671,46.29787,1.342433,10.79388,1.869843,5.021174,1.006273
